2016,LINEZOLID,J01XX08,Kháng sinh Oxazolidinone (Lô 20).,Tương tự Linezolid (Lô 20).,Tương tự Linezolid (Lô 20).,Tương tự Linezolid (Lô 20).,Tương tự Linezolid (Lô 20).
2017,TEDIZOLID,J01XX11,Kháng sinh Oxazolidinone (Thế hệ 2).,Viên nén 200 mg; Thuốc tiêm.,"Sivextro, Tedizolid",Dùng đồng thời với MAOI.,Thuốc cường giao cảm (nguy cơ tăng huyết áp).
2018,DALBAVANCIN,J01XA04,Kháng sinh Lipoglycopeptide.,Bột pha tiêm.,"Dalvance, Dalbavancin",Quá mẫn.,Không đáng kể.
2019,ORITAVANCIN,J01XA05,Kháng sinh Lipoglycopeptide.,Bột pha tiêm.,"Orbactiv, Oritavancin",Quá mẫn.,Tương tác giả với xét nghiệm PT/INR.
2020,TELAVANCIN,J01XA03,Kháng sinh Lipoglycopeptide.,Bột pha tiêm.,"Vibativ, Telavancin",Tương tự Oritavancin.,Thuốc kéo dài khoảng QT.
2021,CEFTAROLINE,J01DI02,Cephalosporin thế hệ 5 (Lô 21).,Tương tự Ceftaroline (Lô 21).,Tương tự Ceftaroline (Lô 21).,Tương tự Ceftaroline (Lô 21).,Tương tự Ceftaroline (Lô 21).
2022,CEFTOLOZANE/TAZOBACTAM,J01DI54,Cephalosporin (Phối hợp Ức chế Beta-lactamase).,Bột pha tiêm.,Zerbaxa,Quá mẫn với Beta-lactam.,Không đáng kể.
2023,CEFTAZIDIME/AVIBACTAM,J01DI52,Cephalosporin (Phối hợp Ức chế Beta-lactamase).,Bột pha tiêm.,Avycaz,Tương tự Ceftolozane/Tazobactam.,Không đáng kể.
2024,RIFABUTIN,J04AB04,Kháng sinh (Điều trị Lao không điển hình).,Viên nang 150 mg.,"Mycobutin, Rifabutin",Dùng đồng thời với Protease Inhibitor mạnh.,Thuốc cảm ứng CYP3A4 (giảm nồng độ nhiều thuốc); Protease Inhibitor.
2025,RIFAPENTINE,J04AB05,Kháng sinh (Điều trị Lao).,Viên nén 150 mg.,"Priftin, Rifapentine",Tương tự Rifabutin.,Tương tự Rifabutin.
2026,DELAMANID,J04AK06,Kháng sinh (Điều trị Lao kháng thuốc).,Viên nén 50 mg.,"Deltyba, Delamanid",Kéo dài khoảng QT.,Thuốc kéo dài khoảng QT.
2027,BEDACUILINE,J04AK05,Kháng sinh (Điều trị Lao kháng thuốc).,Viên nén 100 mg.,"Sirturo, Bedaquiline",Kéo dài khoảng QT.,Thuốc ức chế/cảm ứng CYP3A4 mạnh.
2028,NITAZOXANIDE,P01AX11,"Thuốc chống ký sinh trùng (Điều trị Cryptosporidiosis, Giardiasis).","Viên nén 500 mg, Hỗn dịch uống.","Alinia, Nitazoxanide",Quá mẫn.,"Warfarin (tăng nồng độ, nguy cơ chảy máu)."
2029,PAROMOMYCIN,P01AA01,Kháng sinh Aminoglycosid (Điều trị Lỵ Amip).,Viên nang.,"Humatin, Paromomycin",Tắc ruột.,Không đáng kể.
2030,PYRIMETHAMINE/SULFADOXINE,P01BD01,Thuốc chống sốt rét (Phối hợp).,Viên nén.,"Fansidar, Pyri/Sulfa",Thiếu men G6PD; Mang thai (Gần ngày sinh).,Thuốc ức chế tủy khác; Methotrexate.
2031,ATRAQUINE/PROGUANIL,P01BB51,Thuốc chống sốt rét (Phối hợp).,Viên nén.,"Malarone, Atovaquone/Proguanil",Suy thận nặng; Có thai.,"Rifampicin, Tetracycline (giảm nồng độ Atovaquone)."
2032,ARTEMETHER/LUMEFANTRINE,P01BF01,Thuốc chống sốt rét (Phối hợp).,Viên nén.,"Coartem, Arte/Lume",Kéo dài khoảng QT.,Thuốc kéo dài khoảng QT khác; Nước bưởi (tăng nồng độ).
2033,ARTESUNATE (Tiêm tĩnh mạch),P01AE05,Thuốc chống sốt rét (Điều trị Sốt rét nặng).,Thuốc tiêm.,Artesunate,Quá mẫn.,Không đáng kể.
2034,QUININE SULFATE,P01BA01,Thuốc chống sốt rét (Lô 22).,Tương tự Quinine Sulfate (Lô 22).,Tương tự Quinine Sulfate (Lô 22).,Tương tự Quinine Sulfate (Lô 22).,Tương tự Quinine Sulfate (Lô 22).
2035,CHLOROQUINE PHOSPHATE,P01BA01,Thuốc chống sốt rét (Lô 22).,Tương tự Chloroquine (Lô 22).,Tương tự Chloroquine (Lô 22).,Tương tự Chloroquine (Lô 22).,Tương tự Chloroquine (Lô 22).
2036,MEFLOQUINE,P01BA02,Thuốc chống sốt rét (Lô 22).,Tương tự Mefloquine (Lô 22).,Tương tự Mefloquine (Lô 22).,Tương tự Mefloquine (Lô 22).,Tương tự Mefloquine (Lô 22).
2037,PENTAMIDINE (Khí dung),P01CX01,Thuốc chống PCP (Dự phòng).,Bột pha khí dung.,"NebuPent, Pentamidine",Hen phế quản; Tiền sử hạ huyết áp/loạn nhịp.,Không đáng kể.
2038,NITAZOXANIDE (Hỗn dịch),P01AX11,Thuốc chống ký sinh trùng.,Tương tự Nitazoxanide (Lô 31).,Tương tự Nitazoxanide (Lô 31).,Tương tự Nitazoxanide (Lô 31).,Tương tự Nitazoxanide (Lô 31).
2039,IODOQUINOL,P01AA03,Thuốc trị Amip.,Viên nén.,"Yodoxin, Iodoquinol",Bệnh gan nặng; Không dung nạp Iod.,Không đáng kể.
2040,DILOXANIDE FUROATE,P01AA03,Thuốc trị Amip.,Viên nén.,Diloxanide,Quá mẫn.,Không đáng kể.
2041,ALBENDAZOLE,P02CA03,Thuốc trị giun sán (Lô 22).,Tương tự Albendazole (Lô 22).,Tương tự Albendazole (Lô 22).,Tương tự Albendazole (Lô 22).,Tương tự Albendazole (Lô 22).
2042,MEBENDAZOLE,P02CA01,Thuốc trị giun sán (Lô 22).,Tương tự Mebendazole (Lô 22).,Tương tự Mebendazole (Lô 22).,Tương tự Mebendazole (Lô 22).,Tương tự Mebendazole (Lô 22).
2043,IVERMECTIN,P02CF01,Thuốc trị giun sán (Lô 22).,Tương tự Ivermectin (Lô 22).,Tương tự Ivermectin (Lô 22).,Tương tự Ivermectin (Lô 22).,Tương tự Ivermectin (Lô 22).
2044,PRAZIQUANTEL,P02BA01,Thuốc trị sán (Lô 22).,Tương tự Praziquantel (Lô 22).,Tương tự Praziquantel (Lô 22).,Tương tự Praziquantel (Lô 22).,Tương tự Praziquantel (Lô 22).
2045,NICLOSAMIDE,P02DA01,Thuốc trị sán.,Viên nén nhai.,Niclosamide,Quá mẫn.,Alcohol (tăng hấp thu).
2046,OXYCLOZANIDE,P02BB04,Thuốc trị sán (Thú y).,Đình chỉ uống.,Oxyclozanide,Quá mẫn.,Không đáng kể.
2047,LEVAMISOLE,P02CE01,"Thuốc trị giun, Tác nhân miễn dịch (Lô 22).",Tương tự Levamisole (Lô 22).,Tương tự Levamisole (Lô 22).,Tương tự Levamisole (Lô 22).,Tương tự Levamisole (Lô 22).
2048,DIETHYLCARBAMAZINE (DEC),P02CB02,Thuốc trị giun chỉ.,Viên nén.,"Hetrazan, DEC",Bệnh nhân nặng/có tổn thương mắt do Onchocerca.,Thuốc kháng Histamin (giảm tác dụng phụ).
2049,FUMAGILLIN,P02AX01,Kháng sinh (Điều trị Microsporidiosis).,Viên nang.,Fumagillin,Quá mẫn.,Không đáng kể.
2050,RIFAMYCIN,J01AX07,Kháng sinh (Điều trị Tiêu chảy du lịch).,Viên nén.,"Xifaxan, Rifaximin",Tiêu chảy do vi khuẩn xâm lấn; Tắc ruột.,Thuốc ức chế P-gp (Cyclosporine - tăng hấp thu).
2051,RIFAXIMIN (Liều cao),A07AA11,Kháng sinh (Điều trị Bệnh não gan).,Viên nén 550 mg.,"Xifaxan, Rifaximin",Tương tự Rifaximin (Lô 31).,Tương tự Rifaximin (Lô 31).
2052,SULFACETAMIDE (Nhãn khoa),S01AB04,Kháng sinh Sulfonamide (Điều trị Viêm kết mạc).,"Thuốc nhỏ mắt 10%, 15%.","Bleph-10, Sulfacetamide",Quá mẫn với Sulfonamide; Trẻ sơ sinh dưới 2 tháng tuổi.,Tương tác với chế phẩm Bạc (tạo kết tủa).
2053,SULFADIAZINE,J01EC01,"Kháng sinh Sulfonamide (Điều trị Nhiễm độc tố, Bỏng).",Viên nén 500 mg; Kem bôi.,Sulfadiazine,Thiếu men G6PD; Mang thai (gần đủ tháng); Trẻ sơ sinh.,Warfarin (tăng nguy cơ chảy máu); Methotrexate (tăng độc tính).
2054,SULFAMETHOXAZOLE/TRIMETHOPRIM (Dạng tiêm),J01EE01,Kháng sinh (Lô 21).,Thuốc tiêm truyền.,"Bactrim IV, SMX/TMP",Tương tự SMX/TMP uống.,Tương tự SMX/TMP uống (Đặc biệt: Tăng Kali máu).
2055,CLINDAMYCIN (Tiêm),J01FF01,Kháng sinh Lincosamide (Lô 21).,Thuốc tiêm tĩnh mạch.,Tương tự Clindamycin (Lô 21).,Tương tự Clindamycin (Lô 21).,Tương tự Clindamycin (Lô 21).
2056,METRONIDAZOLE (Tiêm),J01XD01,Kháng sinh Nitroimidazole (Lô 22).,Thuốc tiêm truyền.,Tương tự Metronidazole (Lô 22).,Tương tự Metronidazole (Lô 22).,Tương tự Metronidazole (Lô 22).
2057,TEICOPLANIN,J01XA02,Kháng sinh Glycopeptide (Điều trị MRSA).,Bột pha tiêm.,"Targocid, Teicoplanin",Quá mẫn.,Tương tự Vancomycin (Tăng nguy cơ độc thận/thính giác).
2058,FOSFOMYCIN (IV),J01XX01,Kháng sinh (Điều trị Nhiễm khuẩn đa kháng).,Bột pha tiêm.,Fosfomycin,Quá mẫn.,Metoclopramide (giảm nồng độ Fosfomycin).
2059,VANCOMYCIN (Uống),A07AA09,Kháng sinh (Điều trị Tiêu chảy do C. difficile).,"Viên nang 125 mg, 250 mg.","Vancocin, Vancomycin",Tắc ruột.,Không đáng kể (ít hấp thu qua đường uống).
2060,AZITHROMYCIN (IV),J01FA10,Kháng sinh Macrolide (Lô 20).,Thuốc tiêm truyền.,Tương tự Azithromycin (Lô 20).,Tương tự Azithromycin (Lô 20).,Tương tự Azithromycin (Lô 20).
2061,CLARITHROMYCIN (ER),J01FA09,Kháng sinh Macrolide (Tác dụng kéo dài).,Viên nén 500 mg.,"Biaxin XL, Clarithromycin",Tương tự Clarithromycin (Lô 20).,Tương tự Clarithromycin (Lô 20).
2062,LEVOFLOXACIN (IV),J01MA07,Kháng sinh Quinolone (Lô 21).,Thuốc tiêm truyền.,Tương tự Levofloxacin (Lô 21).,Tương tự Levofloxacin (Lô 21).,Tương tự Levofloxacin (Lô 21).
2063,CIPROFLOXACIN (IV),J01MA02,Kháng sinh Quinolone (Lô 21).,Thuốc tiêm truyền.,Tương tự Ciprofloxacin (Lô 21).,Tương tự Ciprofloxacin (Lô 21).,Tương tự Ciprofloxacin (Lô 21).
2064,MOXIFLOXACIN (IV),J01MA14,Kháng sinh Quinolone (Lô 21).,Thuốc tiêm truyền.,Tương tự Moxifloxacin (Lô 21).,Tương tự Moxifloxacin (Lô 21).,Tương tự Moxifloxacin (Lô 21).
2065,NEOMYCIN (Uống),A07AA01,"Kháng sinh Aminoglycosid (Điều trị Bệnh não gan, Tiền phẫu).",Viên nén 500 mg.,Neomycin,Tắc ruột; Loét ruột.,Tăng độc tính nếu dùng đồng thời với Aminoglycosid tiêm.
2066,SPECTINOMYCIN,J01AX08,Kháng sinh Aminocyclitol (Điều trị Lậu cầu).,Thuốc tiêm bắp.,"Trobicin, Spectinomycin",Quá mẫn.,Không đáng kể.
2067,CEFEPIME (IV),J01DE01,Cephalosporin thế hệ 4 (Lô 21).,Thuốc tiêm tĩnh mạch.,Tương tự Cefepime (Lô 21).,Tương tự Cefepime (Lô 21).,Tương tự Cefepime (Lô 21).
2068,CEFTAROLINE (IV),J01DI02,Cephalosporin thế hệ 5 (Lô 31).,Tương tự Ceftaroline (Lô 31).,Tương tự Ceftaroline (Lô 31).,Tương tự Ceftaroline (Lô 31).,Tương tự Ceftaroline (Lô 31).
2069,AMOXICILLIN/CLAVULANATE (IV),J01CR02,Penicillin (Lô 21).,Thuốc tiêm tĩnh mạch.,Tương tự Amoxicillin/Clavulanate (Lô 21).,Tương tự Amoxicillin/Clavulanate (Lô 21).,Tương tự Amoxicillin/Clavulanate (Lô 21).
2070,PIPERACILLIN/TAZOBACTAM,J01CR05,Penicillin (Lô 21).,Tương tự Piperacillin/Tazobactam (Lô 21).,Tương tự Piperacillin/Tazobactam (Lô 21).,Tương tự Piperacillin/Tazobactam (Lô 21).,Tương tự Piperacillin/Tazobactam (Lô 21).
2071,IMIPENEM/CILASTATIN,J01DH51,Carbapenem (Lô 31).,Tương tự Imipenem/Cilastatin (Lô 31).,Tương tự Imipenem/Cilastatin (Lô 31).,Tương tự Imipenem/Cilastatin (Lô 31).,Tương tự Imipenem/Cilastatin (Lô 31).
2072,MEROPENEM,J01DH02,Carbapenem (Lô 31).,Tương tự Meropenem (Lô 31).,Tương tự Meropenem (Lô 31).,Tương tự Meropenem (Lô 31).,Tương tự Meropenem (Lô 31).
2073,ACICLOVIR (Tiêm),J05AB01,Thuốc chống virus (Lô 20).,Thuốc tiêm tĩnh mạch.,Tương tự Aciclovir (Lô 20).,Tương tự Aciclovir (Lô 20).,Tương tự Aciclovir (Lô 20).
2074,VALACICLOVIR,J05AB11,Thuốc chống virus (Tiền chất của Aciclovir).,"Viên nén 500 mg, 1000 mg.","Valtrex, Valaciclovir",Quá mẫn.,Thuốc độc thận khác (tăng nguy cơ độc thận).
2075,PENCICLOVIR (Kem),D06BB06,Thuốc chống virus (Điều trị Herpes môi).,Kem bôi ngoài da.,"Denavir, Penciclovir",Quá mẫn.,Không đáng kể.
2076,FAMCICLOVIR,J05AB09,Thuốc chống virus (Tiền chất của Penciclovir).,"Viên nén 125 mg, 250 mg, 500 mg.","Famvir, Famciclovir",Quá mẫn.,Probenecid (tăng nồng độ Penciclovir).
2077,GANCICLOVIR (Tiêm),J05AB06,Thuốc chống virus (Điều trị CMV).,Bột pha tiêm.,"Cytovene, Ganciclovir",Giảm bạch cầu trung tính nặng; Giảm tiểu cầu nặng; Có thai.,Thuốc ức chế tủy (Zidovudine); Imipenem/Cilastatin (nguy cơ co giật).
2078,VALGANCICLOVIR,J05AB14,Thuốc chống virus (Tiền chất của Ganciclovir).,Viên nén 450 mg.,"Valcyte, Valganciclovir",Tương tự Ganciclovir.,Tương tự Ganciclovir.
2079,FOSCARNET,J05AD01,"Thuốc chống virus (Điều trị CMV, Herpes kháng thuốc).",Thuốc tiêm truyền.,"Foscavir, Foscarnet",Suy thận nặng; Hạ Calci máu.,"Thuốc độc thận khác (Aminoglycosid, Amphotericin B); Pentamidine (nguy cơ hạ Calci máu)."
2080,CIDOFOVIR,J05AB12,Thuốc chống virus (Điều trị CMV).,Thuốc tiêm truyền.,"Vistide, Cidofovir",Suy thận nặng; Có thai.,Thuốc độc thận khác (chống chỉ định dùng đồng thời).
2081,RIBAVIRIN,J05AP07,"Thuốc chống virus (Điều trị Viêm gan C, RSV).",Viên nang 200 mg.,Ribavirin,Có thai (Gây quái thai nghiêm trọng); Thiếu máu tán huyết nặng.,Zidovudine (tăng độc tính); Didanosine (tăng nguy cơ toan lactic).
2082,SOFOSBUVIR,J05AX15,Thuốc chống virus (Điều trị Viêm gan C).,Viên nén 400 mg.,"Sovaldi, Sofosbuvir",Không đơn trị.,Amiodarone (nguy cơ nhịp chậm nặng); P-gp cảm ứng (Rifampin).
2083,LEDIPASVIR/SOFOSBUVIR,J05AP51,Thuốc chống virus (Điều trị Viêm gan C).,Viên nén phối hợp.,"Harvoni, Ledipasvir/Sofosbuvir",Tương tự Sofosbuvir.,Tương tự Sofosbuvir.
2084,VELPATASVIR/SOFOSBUVIR,J05AP56,Thuốc chống virus (Điều trị Viêm gan C).,Viên nén phối hợp.,"Epclusa, Velpatasvir/Sofosbuvir",Tương tự Sofosbuvir.,Tương tự Sofosbuvir.
2085,GLECAPREVIR/PIBRENTASVIR,J05AP57,Thuốc chống virus (Điều trị Viêm gan C).,Viên nén phối hợp.,"Mavyret, Glecaprevir/Pibrentasvir",Suy gan nặng; Dùng đồng thời với Atazanavir/Rifampin.,Thuốc ức chế P-gp/BCRP mạnh (tăng nồng độ); Thuốc cảm ứng CYP3A4.
2086,TENOF OVIR DISOPROXIL FUMARATE (TDF),J05AF07,NRTI (Điều trị HIV/Viêm gan B).,Viên nén 300 mg.,"Viread, Tenofovir",Suy thận nặng.,Thuốc độc thận khác (tăng nguy cơ độc thận).
2087,TENOFOVIR ALAFENAMIDE (TAF),J05AF13,NRTI (Điều trị HIV/Viêm gan B - Ít độc thận hơn).,Viên nén 25 mg.,"Vemlidy, Descovy (phối hợp TAF)",Tương tự TDF.,Thuốc ức chế P-gp/BCRP mạnh.
2088,EMTRICITABINE,J05AF09,NRTI (Điều trị HIV/Viêm gan B).,Viên nang 200 mg.,"Emtriva, Emtricitabine",Quá mẫn.,Không đáng kể.
2089,ABACAVIR,J05AF06,NRTI (Điều trị HIV).,Viên nén 300 mg.,"Ziagen, Abacavir",Quá mẫn (Kiểm tra HLA-B*5701).,Alcohol (tăng nồng độ Abacavir).
2090,LAMIVUDINE (3TC),J05AF05,NRTI (Điều trị HIV/Viêm gan B).,"Viên nén 150 mg, 300 mg.","Epivir, Lamivudine",Tương tự Emtricitabine.,Tương tự Emtricitabine.
2091,ZIDOVUDINE (AZT),J05AF01,NRTI (Lô 29).,Tương tự Zidovudine (Lô 29).,Tương tự Zidovudine (Lô 29).,Tương tự Zidovudine (Lô 29).,Tương tự Zidovudine (Lô 29).
2092,EFAVIRENZ,J05AG03,NNRTI (Điều trị HIV).,"Viên nang 50 mg, 100 mg, 200 mg; Viên nén 600 mg.","Sustiva, Efavirenz",Rối loạn tâm thần nặng; Có thai (3 tháng đầu).,Thuốc ức chế/cảm ứng CYP3A4/2B6.
2093,NEVIRAPINE,J05AG01,NNRTI (Điều trị HIV).,Viên nén 200 mg.,"Viramune, Nevirapine",Suy gan nặng; Phát ban nặng (Hội chứng Stevens-Johnson).,Thuốc cảm ứng CYP3A4 (giảm nồng độ Nevirapine); Thuốc tránh thai (giảm hiệu quả).
2094,ETRAVIRINE,J05AG04,NNRTI (Điều trị HIV kháng thuốc).,"Viên nén 25 mg, 100 mg, 200 mg.","Intelence, Etravirine",Quá mẫn.,Thuốc ức chế/cảm ứng CYP3A4/2C9/2C19.
2095,RILPIVIRINE,J05AG05,NNRTI (Điều trị HIV).,Viên nén 25 mg.,"Edurant, Rilpivirine","Dùng đồng thời với PPI, Dexamethasone, Carbamazepine, Rifampin.",Thuốc ức chế/cảm ứng CYP3A4; PPI.
2096,DARUNAVIR,J05AE10,Thuốc ức chế Protease (PI) (Điều trị HIV).,"Viên nén 600 mg, 800 mg (Dùng kèm Ritonavir/Cobicistat).","Prezista, Darunavir","Dùng đồng thời với Fluticasone, Midazolam, PPI.",Thuốc ức chế/cảm ứng CYP3A4 (ảnh hưởng nồng độ Darunavir).
2097,ATAZANAVIR,J05AE08,PI (Điều trị HIV).,"Viên nang 150 mg, 200 mg, 300 mg.","Reyataz, Atazanavir","Dùng đồng thời với PPI, Simvastatin, Midazolam, Voriconazole.","Thuốc kháng acid, H2RA, PPI (giảm hấp thu); Thuốc ức chế CYP3A4."
2098,RITONAVIR,J05AE03,PI (Tăng cường dược động học).,"Viên nén 100 mg, Dung dịch uống.","Norvir, Ritonavir",Tương tự PI khác (Phổ tương tác rộng nhất).,Thuốc cảm ứng CYP3A4/2D6/2C9.
2099,SAQUINAVIR,J05AE01,PI (Điều trị HIV).,Viên nang 500 mg (Dùng kèm Ritonavir).,"Invirase, Saquinavir",Kéo dài khoảng QT.,Thuốc kéo dài khoảng QT.
2100,TIPRANAVIR,J05AE09,PI (Điều trị HIV kháng thuốc).,Viên nang 250 mg (Dùng kèm Ritonavir).,"Aptivus, Tipranavir","Suy gan nặng; Dùng đồng thời với PPI, Fluticasone.",Tương tự PI khác.
2101,RALTEGRAVIR,J05AX08,Thuốc ức chế Integrase (INI) (Điều trị HIV).,Viên nén 400 mg.,"Isentress, Raltegravir",Quá mẫn.,Rifampin (giảm nồng độ Raltegravir); Thuốc kháng acid.
2102,DOLUTEGRAVIR,J05AX12,INI (Điều trị HIV).,Viên nén 50 mg.,"Tivicay, Dolutegravir",Dùng đồng thời với Dofetilide (chống chỉ định).,"Thuốc kháng acid, Sắt, Calci (giảm hấp thu); Metformin (tăng nồng độ Metformin)."
2103,ELVITEGRAVIR,J05AX09,INI (Chỉ dùng phối hợp với Cobicistat).,Viên nén (Phối hợp).,"Stribild, Genvoya (Phối hợp)",Tương tự PI khác (Do Cobicistat).,Tương tự PI khác (Do Cobicistat).
2104,COBICISTAT,V03AX03,Tăng cường dược động học (Chỉ dùng kèm INI/PI).,Viên nén 150 mg.,"Tybost, Cobicistat",Tương tự Ritonavir.,Tương tự Ritonavir.
2105,ENFUVIRTIDE,J05AX06,Thuốc ức chế Fusion (Điều trị HIV kháng thuốc).,Bột pha tiêm dưới da.,"Fuzeon, Enfuvirtide",Quá mẫn.,Không đáng kể.
2106,MARAVIROC,J05AX09,Thuốc đối kháng thụ thể CCR5 (Điều trị HIV).,"Viên nén 150 mg, 300 mg.","Celsentri, Maraviroc",Suy gan nặng; Dùng đồng thời với ức chế CYP3A4 mạnh.,Thuốc ức chế/cảm ứng CYP3A4.
2107,RIMANTADINE,J05AC02,Thuốc chống virus cúm (Cũ - Kháng thuốc rộng).,Viên nén 100 mg.,"Flumadine, Rimantadine",Quá mẫn.,"Acetaminophen, Aspirin (giảm nồng độ Rimantadine)."
2108,O SELTAMIVIR,J05AH02,Thuốc ức chế Neuraminidase (Điều trị Cúm A/B).,"Viên nang 30 mg, 45 mg, 75 mg.","Tamiflu, Oseltamivir",Quá mẫn.,Probenecid (tăng nồng độ Oseltamivir).
2109,ZANAMIVIR,J05AH01,Thuốc ức chế Neuraminidase (Điều trị Cúm A/B).,Thuốc hít.,"Relenza, Zanamivir",Dị ứng protein sữa nặng; Tiền sử hen phế quản/COPD.,Không đáng kể.
2110,PERAMIVIR,J05AH03,Thuốc ức chế Neuraminidase (Điều trị Cúm - Tiêm).,Thuốc tiêm truyền.,"Rapivab, Peramivir",Quá mẫn.,Không đáng kể.
2111,BALOXAVIR MARBOXIL,J05AX25,Thuốc ức chế Endonuclease Polymerase (Điều trị Cúm).,"Viên nén 20 mg, 40 mg.","Xofluza, Baloxavir",Quá mẫn.,"Sản phẩm chứa Calci, Sắt, Magie, Selen, Kẽm (giảm hấp thu)."
2112,METISOPRINOL (INOSINE PRANOBEX),J05AX05,"Thuốc kích thích miễn dịch, Chống virus.",Viên nén 500 mg.,"Isoprinosine, Metisoprinol",Tăng acid uric máu; Gút.,Thuốc ức chế Xanthine oxidase (Allopurinol).
2113,IMIQ UIMOD,D06BB10,"Thuốc điều biến miễn dịch (Điều trị U nhú, Ung thư da).",Kem bôi 5%.,"Aldara, Imiquimod",Quá mẫn.,Không đáng kể.
2114,PODOPHYLLOTOXIN,D06BB04,Tác nhân chống phân bào (Điều trị Mụn cóc sinh dục).,Dung dịch bôi.,"Condylox, Podophyllotoxin",Có thai; Dùng cho vùng niêm mạc lớn.,Không đáng kể.
2115,INTERFERON BETA-1A,L03AB07,Yếu tố miễn dịch (Điều trị Đa xơ cứng).,Thuốc tiêm dưới da/bắp.,"Avonex, Rebif",Tiền sử trầm cảm nặng; Bệnh gan nặng.,Không đáng kể.
2116,INTERFERON BETA-1B,L03AB08,Yếu tố miễn dịch (Điều trị Đa xơ cứng).,Thuốc tiêm dưới da.,"Betaseron, Extavia",Tương tự Interferon Beta-1A.,Không đáng kể.
2117,GLATIRAMER ACETATE,L03AX13,Tác nhân điều biến miễn dịch (Điều trị Đa xơ cứng).,Thuốc tiêm dưới da.,"Copaxone, Glatiramer",Quá mẫn.,Không đáng kể.
2118,FINGOLIMOD,L04AA27,Thuốc điều biến miễn dịch (Đối kháng thụ thể S1P - Điều trị Đa xơ cứng).,Viên nang 0.5 mg.,"Gilenya, Fingolimod","Nhồi máu cơ tim, Đột quỵ, Suy tim nặng gần đây.",Thuốc chống loạn nhịp (tăng nguy cơ nhịp chậm).
2119,SIPONIMOD,L04AA30,Thuốc điều biến miễn dịch (Đối kháng thụ thể S1P).,Viên nén 0.25 mg - 2 mg.,"Mayzent, Siponimod",Tương tự Fingolimod.,Thuốc ức chế/cảm ứng CYP2C9.
2120,OZANIMOD,L04AA41,Thuốc điều biến miễn dịch (Đối kháng thụ thể S1P).,"Viên nang 0.23 mg, 0.46 mg, 0.92 mg.","Zeposia, Ozanimod",Tương tự Fingolimod.,Thuốc ức chế MAOI (nguy cơ tăng huyết áp).
2121,TERIFLUNOMIDE,L04AA31,Thuốc điều biến miễn dịch (Điều trị Đa xơ cứng).,"Viên nén 7 mg, 14 mg.","Aubagio, Teriflunomide",Suy gan nặng; Có thai (Gây quái thai nghiêm trọng).,Thuốc ức chế OAT3 (Tăng nồng độ); Warfarin (giảm INR).
2122,DIMETHYL FUMARATE,L04AA27,Thuốc điều biến miễn dịch (Điều trị Đa xơ cứng).,Viên nang giải phóng chậm.,"Tecfidera, Dimethyl Fumarate",Quá mẫn.,Dùng đồng thời với ức chế miễn dịch khác (chống chỉ định).
2123,ALE MTUZUMAB (Đa xơ cứng),L04AA34,Kháng thể đơn dòng (Lô 31).,Tương tự Alemtuzumab (Lô 31).,Tương tự Alemtuzumab (Lô 31).,Tương tự Alemtuzumab (Lô 31).,Tương tự Alemtuzumab (Lô 31).
2124,NATALIZUMAB,L04AA23,Kháng thể đơn dòng (Lô 31).,Tương tự Natalizumab (Lô 31).,Tương tự Natalizumab (Lô 31).,Tương tự Natalizumab (Lô 31).,Tương tự Natalizumab (Lô 31).
2125,OCRELIZUMAB,L04AA38,Kháng thể đơn dòng (Lô 31).,Tương tự Ocrelizumab (Lô 31).,Tương tự Ocrelizumab (Lô 31).,Tương tự Ocrelizumab (Lô 31).,Tương tự Ocrelizumab (Lô 31).
2126,DACLIZUMAB,L04AC09,Kháng thể đơn dòng (Điều trị Đa xơ cứng - Đã ngưng sử dụng).,Thuốc tiêm dưới da.,"Zinbryta, Daclizumab",Tiền sử bệnh gan nặng.,Không đáng kể.
2127,TREATMENT INDIVIDUALIZED (Tác nhân miễn dịch tự thân),V03A,Các liệu pháp tế bào miễn dịch.,Tiêm truyền.,Tùy thuộc liệu pháp.,Phụ thuộc liệu pháp.,Phụ thuộc liệu pháp.
2128,BASILIXIMAB,L04AA03,Kháng thể đơn dòng (Ức chế thụ thể IL-2 - Dự phòng thải ghép).,Bột pha tiêm.,"Simulect, Basiliximab",Quá mẫn.,Vắc xin sống (chống chỉ định).
2129,MUROMONAB-CD3,L04AA01,Kháng thể đơn dòng (Chống thải ghép - Đã ngưng sử dụng).,Thuốc tiêm tĩnh mạch.,"Orthoclone OKT3, Muromonab",Quá mẫn; Tình trạng quá tải dịch.,Không đáng kể.
2130,THYMOGLOBULIN (Anti-thymocyte Globulin - ATG),L04AA04,"Kháng thể đa dòng (Chống thải ghép, Thiếu máu bất sản).",Thuốc tiêm truyền.,Thymoglobulin,Quá mẫn với protein Thỏ; Giảm tiểu cầu/bạch cầu nặng.,Không đáng kể.
2131,RABIES IMMUNOGLOBULIN,J06BB05,Globulin miễn dịch (Dự phòng Bệnh dại).,Thuốc tiêm bắp.,"BayRab, RIG",Quá mẫn.,Không ảnh hưởng đến vắc xin dại.
2132,TETANUS IMMUNOGLOBULIN,J06BB02,Globulin miễn dịch (Dự phòng Uốn ván).,Thuốc tiêm bắp.,TIG,Quá mẫn.,Vắc xin sống (giảm hiệu quả).
2133,VARICELLA ZOSTER IMMUNOGLOBULIN,J06BB03,Globulin miễn dịch (Dự phòng Thủy đậu).,Thuốc tiêm bắp.,VZIG,Quá mẫn.,Không đáng kể.
