inn,drug_class,brand_names,forms,inn_clean,atc_code,drug_class_clean,forms_clean,brand_clean,tokens,aliases,routes,is_pediatric_form,age_min,risk_tags,contraindications,specialties
ROMIPLOSTIM,Chất chủ vận thụ thể Thrombopoietin (Điều trị Giảm tiểu cầu mạn tính miễn dịch - ITP).,"['Nplate', 'Romiplostim']",['Thuốc tiêm dưới da'],romiplostim,b02bx04,chat chu van thu the thrombopoietin (dieu tri giam tieu cau man tinh mien dich - itp).,['thuoc tiem duoi da'],"['nplate', 'romiplostim']","['van', 'b02bx04', 'duoi', 'man', 'thu', 'chu', 'itp', 'tieu', 'mien', 'tri', 'tinh', 'dich', 'nplate', 'chat', 'da', 'tiem', 'giam', 'romiplostim', 'dieu', 'cau', 'thuoc', 'the', 'thrombopoietin']",[],"{""injection""}",False,,[],Rối loạn tủy xương; Quá mẫn.,"{""hematology""}"
ELTROMBOPAG,Chất chủ vận thụ thể Thrombopoietin (Điều trị ITP - Uống).,"['Promacta', 'Eltrombopag']",['Viên nén 12.5 mg - 75 mg'],eltrombopag,b02bx05,chat chu van thu the thrombopoietin (dieu tri itp - uong).,['vien nen 12.5mg - 75mg'],"['promacta', 'eltrombopag']","['125mg', 'vien', 'dieu', 'eltrombopag', 'van', 'thu', 'chu', 'itp', '75mg', 'b02bx05', 'the', 'chat', 'uong', 'promacta', 'tri', 'nen', 'thrombopoietin']",[],"{""oral""}",False,,[],Tương tự Romiplostim.,"{""hematology""}"
AVATROMBOPAG,Chất chủ vận thụ thể Thrombopoietin.,"['Doptelet', 'Avatrombopag']",['Viên nén 20 mg'],avatrombopag,b02bx06,chat chu van thu the thrombopoietin.,['vien nen 20mg'],"['doptelet', 'avatrombopag']","['doptelet', 'vien', 'avatrombopag', 'van', 'thu', 'chu', 'b02bx06', 'the', 'chat', 'nen', 'thrombopoietin', '20mg']",[],"{""oral""}",False,,[],Tương tự Eltrombopag.,"{""hematology""}"
TAVABOROLE,Thuốc chống nấm (Điều trị Nấm móng).,"['Kerydin', 'Tavaborole']",['Dung dịch bôi ngoài da 5%'],tavaborole,d01ae19,thuoc chong nam (dieu tri nam mong).,['dung dich boi ngoai da 5%'],"['kerydin', 'tavaborole']","['dieu', 'boi', 'ngoai', '5%', 'kerydin', 'd01ae19', 'thuoc', 'dung', 'dich', 'chong', 'da', 'tavaborole', 'nam', 'tri', 'mong']",[],"{""oral""}",False,,[],Quá mẫn.,"{""dermatology""}"
EFICONAZOLE,Thuốc chống nấm (Điều trị Nấm móng).,"['Jublia', 'Efinaconazole']",['Dung dịch bôi ngoài da 10%'],eficonazole,d01ae20,thuoc chong nam (dieu tri nam mong).,['dung dich boi ngoai da 10%'],"['jublia', 'efinaconazole']","['dieu', 'boi', 'd01ae20', 'ngoai', 'dung', 'thuoc', 'jublia', 'dich', 'chong', 'da', 'efinaconazole', 'nam', '10%', 'tri', 'mong', 'eficonazole']",[],"{""oral""}",False,,[],Quá mẫn.,"{""dermatology""}"
GRISOVEIN,Thuốc chống nấm (Uống - Lô 31).,['Tương tự Griseofulvin (Lô 31)'],['Tương tự Griseofulvin (Lô 31)'],grisovein,d01aa08,thuoc chong nam (uong - lo 31).,['tuong tugriseofulvin (lo 31)'],['tuong tu griseofulvin (lo 31)'],"['d01aa08', 'tu', 'griseofulvin', 'thuoc', 'uong', 'chong', '31', 'tugriseofulvin', 'tuong', 'nam', 'grisovein', 'lo']",[],"{""oral""}",False,,[],Tương tự Griseofulvin (Lô 31).,"{""dermatology""}"
TERBINAFINE (Uống),Thuốc chống nấm (Lô 31).,['Tương tự Terbinafine (Lô 31)'],['Tương tự Terbinafine (Lô 31)'],terbinafine (uong),d01ba02,thuoc chong nam (lo 31).,['tuong tu terbinafine (lo 31)'],['tuong tu terbinafine (lo 31)'],"['terbinafine', 'tu', 'thuoc', 'uong', 'chong', '31', 'tuong', 'nam', 'd01ba02', 'lo']",[],"{""oral""}",False,,[],Tương tự Terbinafine (Lô 31).,"{""dermatology""}"
POSACONAZOLE,Thuốc chống nấm Azole (Điều trị Nhiễm nấm xâm lấn).,['Tương tự Posaconazole (Lô 31)'],['Tương tự Posaconazole (Lô 31)'],posaconazole,j02ac04,thuoc chong nam azole (dieu tri nhiem nam xam lan).,['tuong tu posaconazole (lo 31)'],['tuong tu posaconazole (lo 31)'],"['j02ac04', 'dieu', 'nhiem', 'azole', 'posaconazole', 'xam', 'tu', 'thuoc', 'chong', '31', 'tuong', 'nam', 'tri', 'lan', 'lo']",[],"{""oral""}",False,,[],Tương tự Posaconazole (Lô 31).,"{""infectious""}"
ISAVUCONAZOLE,Thuốc chống nấm Azole (Điều trị Nhiễm nấm xâm lấn).,"['Cresemba', 'Isavuconazole']",[],isavuconazole,j02ac05,thuoc chong nam azole (dieu tri nhiem nam xam lan).,[],"['cresemba', 'isavuconazole']","['isavuconazole', 'dieu', 'nhiem', 'azole', 'xam', 'thuoc', 'j02ac05', 'chong', 'nam', 'tri', 'lan', 'cresemba']",[],"{""oral""}",False,,['hepatic_toxic'],Rút ngắn khoảng QT bẩm sinh; Dùng đồng thời với chất ức chế/cảm ứng CYP3A4 mạnh.,"{""infectious""}"
ANIDULAFUNGIN,Thuốc chống nấm Echinocandin (Điều trị Nhiễm Candida xâm lấn).,"['Eraxis', 'Anidulafungin']",['Bột pha tiêm'],anidulafungin,j02ax06,thuoc chong nam echinocandin (dieu tri nhiem candida xam lan).,['bot pha tiem'],"['eraxis', 'anidulafungin']","['anidulafungin', 'j02ax06', 'dieu', 'nhiem', 'bot', 'pha', 'candida', 'xam', 'thuoc', 'eraxis', 'chong', 'echinocandin', 'tiem', 'nam', 'tri', 'lan']",[],"{""injection""}",False,,[],Quá mẫn.,"{""infectious""}"
CASPOFUNGIN,Thuốc chống nấm Echinocandin (Lô 31).,['Tương tự Caspofungin (Lô 31)'],['Tương tự Caspofungin (Lô 31)'],caspofungin,j02ax05,thuoc chong nam echinocandin (lo 31).,['tuong tu caspofungin (lo 31)'],['tuong tu caspofungin (lo 31)'],"['tu', 'j02ax05', 'thuoc', 'chong', 'caspofungin', 'echinocandin', '31', 'tuong', 'nam', 'lo']",[],"{""oral""}",False,,[],Tương tự Caspofungin (Lô 31).,"{""infectious""}"
MICAFUNGIN,Thuốc chống nấm Echinocandin (Lô 31).,['Tương tự Micafungin (Lô 31)'],['Tương tự Micafungin (Lô 31)'],micafungin,j02ax04,thuoc chong nam echinocandin (lo 31).,['tuong tu micafungin (lo 31)'],['tuong tu micafungin (lo 31)'],"['tu', 'thuoc', 'micafungin', 'chong', 'echinocandin', '31', 'tuong', 'nam', 'j02ax04', 'lo']",[],"{""oral""}",False,,[],Tương tự Micafungin (Lô 31).,"{""infectious""}"
AMPHOTERICIN B (Dạng thông thường),Thuốc chống nấm (Lô 31).,['Tương tự Amphotericin B (Lô 31)'],['Tương tự Amphotericin B (Lô 31)'],amphotericin b (dang thong thuong),j02aa01,thuoc chong nam (lo 31).,['tuong tu amphotericin b (lo 31)'],['tuong tu amphotericin b (lo 31)'],"['j02aa01', 'thuong', 'dang', 'thong', 'tu', 'thuoc', 'chong', '31', 'tuong', 'nam', 'amphotericin', 'b', 'lo']",[],"{""oral""}",False,,[],Tương tự Amphotericin B (Lô 31).,"{""infectious""}"
AMPHOTERICIN B (Liposomal),Thuốc chống nấm (Giảm độc tính thận).,"['AmBisome', 'Amphotericin B Liposomal']",['Hỗn dịch tiêm truyền'],amphotericin b (liposomal),j02aa01,thuoc chong nam (giam doc tinh than).,['hon dich tiem truyen'],"['ambisome', 'amphotericin b liposomal']","['ambisome', 'liposomal', 'j02aa01', 'doc', 'than', 'truyen', 'tinh', 'thuoc', 'hon', 'dich', 'chong', 'giam', 'tiem', 'nam', 'amphotericin', 'b']",[],"{""oral"",""injection""}",True,,[],Tương tự Amphotericin B.,"{""infectious""}"
FLUCYTOSINE,Thuốc chống nấm (Điều trị Nhiễm nấm nặng).,"['Ancobon', 'Flucytosine']","['Viên nén 250 mg', 'Viên nén 500 mg']",flucytosine,j02ax01,thuoc chong nam (dieu tri nhiem nam nang).,"['vien nen 250mg', 'vien nen 500mg']","['ancobon', 'flucytosine']","['vien', 'dieu', 'nhiem', 'nang', 'flucytosine', '500mg', '250mg', 'thuoc', 'j02ax01', 'ancobon', 'chong', 'nam', 'nen', 'tri']",[],"{""oral""}",False,,[],Suy tủy nặng.,"{""infectious""}"
SODIUM PHOSPHATE (Bổ sung),Chất điện giải (Điều trị Hạ phosphat máu).,['Sodium Phosphate'],['Dung dịch tiêm truyền'],sodium phosphate (bo sung),a12cx,chat dien giai (dieu tri ha phosphat mau).,['dung dich tiem truyen'],['sodium phosphate'],"['sung', 'sodium', 'dieu', 'a12cx', 'dien', 'truyen', 'bo', 'dung', 'dich', 'giai', 'chat', 'tiem', 'phosphat', 'mau', 'phosphate', 'tri', 'ha']",[],"{""injection""}",False,,['renal_adjust'],Tăng phosphat máu; Suy thận nặng.,{}
POTASSIUM PHOSPHATE,Chất điện giải (Điều trị Hạ phosphat/kali máu).,['Potassium Phosphate'],['Dung dịch tiêm truyền'],potassium phosphate,a12cx,chat dien giai (dieu tri ha phosphat/kali mau).,['dung dich tiem truyen'],['potassium phosphate'],"['potassium', 'dieu', 'a12cx', 'phosphat/kali', 'dien', 'truyen', 'dung', 'dich', 'giai', 'chat', 'tiem', 'mau', 'phosphate', 'tri', 'ha']",[],"{""injection""}",False,,['renal_adjust'],Tăng kali/phosphat máu; Suy thận nặng.,{}
MAGNESIUM SULPHATE (IV),"Chất điện giải (Điều trị Hạ magie máu, Sản giật).",['Magnesium Sulfate'],['Dung dịch tiêm truyền'],magnesium sulphate (iv),a12cc02,"chat dien giai (dieu tri ha magie mau, san giat).",['dung dich tiem truyen'],['magnesium sulfate'],"['sulphate', 'dien', 'truyen', 'iv', 'giai', 'mau', 'ha', 'giat', 'dung', 'tri', 'magie', 'sulfate', 'dich', 'chat', 'tiem', 'dieu', 'san', 'a12cc02', 'magnesium']",[],"{""injection""}",False,,['renal_adjust'],Block tim; Suy thận nặng.,{}
MAGNESIUM OXIDE (Uống),"Chất điện giải (Điều trị Hạ magie máu nhẹ, Thuốc nhuận tràng).","['Mag-Ox', 'Magnesium Oxide']",['Viên nén 400 mg'],magnesium oxide (uong),a12cc07,"chat dien giai (dieu tri ha magie mau nhe, thuoc nhuan trang).",['vien nen 400mg'],"['mag-ox', 'magnesium oxide']","['a12cc07', 'dien', 'giai', 'mau', 'ha', 'vien', 'nhuan', 'tri', 'nhe', 'magie', 'chat', 'uong', 'oxide', '400mg', 'nen', 'magox', 'dieu', 'trang', 'thuoc', 'magnesium']",[],"{""oral""}",False,,[],Tương tự Magnesium Sulphate.,{}
CALCIUM GLUCONATE (IV),"Chất điện giải (Điều trị Hạ calci máu cấp, Tăng Kali máu).",['Calcium Gluconate'],['Dung dịch tiêm truyền'],calcium gluconate (iv),a12aa03,"chat dien giai (dieu tri ha calci mau cap, tang kali mau).",['dung dich tiem truyen'],['calcium gluconate'],"['calci', 'dien', 'truyen', 'iv', 'giai', 'mau', 'cap', 'ha', 'tang', 'a12aa03', 'dung', 'tri', 'gluconate', 'dich', 'chat', 'kali', 'tiem', 'calcium', 'dieu']",[],"{""injection""}",False,,[],Rung thất; Dùng đồng thời Digoxin.,{}
CALCIUM CHLORIDE (IV),"Chất điện giải (Tương tự Gluconate, nồng độ cao hơn).",['Calcium Chloride'],['Dung dịch tiêm truyền'],calcium chloride (iv),a12aa07,"chat dien giai (tuong tu gluconate, nong do cao hon).",['dung dich tiem truyen'],['calcium chloride'],"['a12aa07', 'dien', 'truyen', 'tu', 'iv', 'gluconate', 'hon', 'dung', 'giai', 'chat', 'do', 'chloride', 'dich', 'tiem', 'cao', 'tuong', 'nong', 'calcium']",[],"{""injection""}",False,,[],Tương tự Calcium Gluconate.,{}
SODIUM BICARBONATE (IV),Chất điện giải (Điều trị Nhiễm toan chuyển hóa).,['Sodium Bicarbonate'],['Dung dịch tiêm truyền'],sodium bicarbonate (iv),b05xa02,chat dien giai (dieu tri nhiem toan chuyen hoa).,['dung dich tiem truyen'],['sodium bicarbonate'],"['sodium', 'dieu', 'b05xa02', 'nhiem', 'dien', 'truyen', 'iv', 'bicarbonate', 'dung', 'hoa', 'giai', 'chat', 'dich', 'chuyen', 'tiem', 'tri', 'toan']",[],"{""injection""}",False,,[],Nhiễm kiềm chuyển hóa; Tăng Natri máu.,{}
POTASSIUM CHLORIDE (IV),Chất điện giải (Điều trị Hạ kali máu cấp).,['Potassium Chloride'],['Dung dịch tiêm truyền'],potassium chloride (iv),a12ba01,chat dien giai (dieu tri ha kali mau cap).,['dung dich tiem truyen'],['potassium chloride'],"['potassium', 'dieu', 'a12ba01', 'dien', 'truyen', 'iv', 'dung', 'dich', 'giai', 'chat', 'kali', 'chloride', 'mau', 'cap', 'tiem', 'tri', 'ha']",[],"{""injection""}",False,,['renal_adjust'],Suy thận nặng; Tăng Kali máu.,{}
POTASSIUM CHLORIDE (Uống),Chất điện giải (Điều trị Hạ kali máu mạn tính).,"['K-Dur', 'Micro-K']",[],potassium chloride (uong),a12ba01,chat dien giai (dieu tri ha kali mau man tinh).,[],"['k-dur', 'micro-k']","['potassium', 'dieu', 'a12ba01', 'man', 'dien', 'kdur', 'tinh', 'giai', 'uong', 'chat', 'chloride', 'kali', 'mau', 'microk', 'tri', 'ha']",[],"{""oral""}",False,,[],Bệnh đường tiêu hóa (nguy cơ loét); Tương tự Potassium Chloride IV.,{}
SODIUM CHLORIDE (IV - 0.9%),Dung dịch tiêm truyền (Lô 29).,['Tương tự Sodium Chloride (Lô 29)'],['Tương tự Sodium Chloride (Lô 29)'],sodium chloride (iv - 0.9%),b05xa03,dung dich tiem truyen (lo 29).,['tuong tu sodium chloride (lo 29)'],['tuong tu sodium chloride (lo 29)'],"['tuong', 'sodium', '29', 'truyen', 'b05xa03', 'iv', 'dung', 'tu', 'dich', 'chloride', 'tiem', '09%', 'lo']",[],"{""oral""}",False,,[],Tương tự Sodium Chloride (Lô 29).,{}
DEXTROSE 5% (D5W),Dung dịch tiêm truyền (Lô 29).,['Tương tự Dextrose (Lô 29)'],['Tương tự Dextrose (Lô 29)'],dextrose 5% (d5w),v06dc01,dung dich tiem truyen (lo 29).,['tuong tu dextrose (lo 29)'],['tuong tu dextrose (lo 29)'],"['d5w', 'v06dc01', '29', 'dextrose', 'tuong', '5%', 'truyen', 'dung', 'tu', 'dich', 'tiem', 'lo']",[],"{""oral""}",False,,[],Tương tự Dextrose (Lô 29).,{}
RINGERS LACTATE,Dung dịch tiêm truyền (Lô 29).,['Tương tự Ringers Lactate (Lô 29)'],['Tương tự Ringers Lactate (Lô 29)'],ringers lactate,b05bb01,dung dich tiem truyen (lo 29).,['tuong tu ringers lactate (lo 29)'],['tuong tu ringers lactate (lo 29)'],"['tuong', 'ringers', '29', 'b05bb01', 'truyen', 'tu', 'dung', 'lactate', 'dich', 'tiem', 'lo']",[],"{""oral""}",False,,[],Tương tự Ringers Lactate (Lô 29).,{}
MANNITOL (IV),"Thuốc lợi tiểu thẩm thấu (Điều trị Phù não, Tăng áp lực nội sọ).","['Osmitrol', 'Mannitol']","['Dung dịch tiêm truyền 20%', 'Dung dịch tiêm truyền 25%']",mannitol (iv),b05bc01,"thuoc loi tieu tham thau (dieu tri phu nao, tang ap luc noi so).","['dung dich tiem truyen 20%', 'dung dich tiem truyen 25%']","['osmitrol', 'mannitol']","['noi', 'osmitrol', '20%', 'truyen', 'iv', 'b05bc01', 'tang', 'phu', 'dung', 'tieu', 'tri', 'luc', 'tham', '25%', 'dich', 'tiem', 'so', 'loi', 'mannitol', 'dieu', 'nao', 'thau', 'thuoc', 'ap']",[],"{""injection""}",False,,[],Suy tim sung huyết nặng; Phù phổi; Vô niệu.,{}
ALBUMIN (Huyết thanh),"Chất thay thế huyết tương (Điều trị Sốc giảm thể tích, Giảm Albumin máu).","['Albuminar', 'Albumin']","['Dung dịch tiêm truyền 5%', 'Dung dịch tiêm truyền 25%']",albumin (huyet thanh),b05aa01,"chat thay the huyet tuong (dieu tri soc giam the tich, giam albumin mau).","['dung dich tiem truyen 5%', 'dung dich tiem truyen 25%']","['albuminar', 'albumin']","['thay', 'truyen', '5%', 'mau', 'dung', 'thanh', 'tuong', 'tri', 'albuminar', 'b05aa01', '25%', 'dich', 'chat', 'tich', 'tiem', 'giam', 'soc', 'dieu', 'the', 'albumin', 'huyet']",[],"{""injection""}",False,,[],Thiếu máu nặng; Suy tim sung huyết.,{}
DEXTRAN,Chất thay thế huyết tương (Điều trị Sốc giảm thể tích).,"['Dextran 40', 'Dextran 70']",['Dung dịch tiêm truyền'],dextran,b05aa05,chat thay the huyet tuong (dieu tri soc giam the tich).,['dung dich tiem truyen'],"['dextran 40', 'dextran 70']","['dieu', 'thay', '70', 'truyen', 'dung', 'dich', 'the', 'chat', 'tiem', 'giam', 'dextran', 'tuong', 'huyet', 'tich', 'tri', '40', 'b05aa05', 'soc']",[],"{""injection""}",False,,[],Suy tim sung huyết; Rối loạn đông máu nặng.,{}
GELATIN DICH SỦI BỌT,Chất thay thế huyết tương (Điều trị Sốc giảm thể tích).,"['Gelofusine', 'Gelatin']",['Dung dịch tiêm truyền'],gelatin dich sui bot,b05aa06,chat thay the huyet tuong (dieu tri soc giam the tich).,['dung dich tiem truyen'],"['gelofusine', 'gelatin']","['thay', 'truyen', 'gelatin', 'dung', 'tuong', 'sui', 'tri', 'b05aa06', 'dich', 'chat', 'tich', 'tiem', 'giam', 'soc', 'dieu', 'gelofusine', 'bot', 'the', 'huyet']",[],"{""injection""}",False,,[],Tương tự Dextran.,{}
HYDROXYETHYL STARCH (HES),Chất thay thế huyết tương (Điều trị Sốc giảm thể tích - Ít dùng).,"['Hextend', 'Voluven']",['Dung dịch tiêm truyền'],hydroxyethyl starch (hes),b05aa07,chat thay the huyet tuong (dieu tri soc giam the tich - it dung).,['dung dich tiem truyen'],"['hextend', 'voluven']","['thay', 'truyen', 'b05aa07', 'hes', 'hydroxyethyl', 'dung', 'it', 'hextend', 'tuong', 'tri', 'dich', 'chat', 'tich', 'tiem', 'giam', 'soc', 'voluven', 'dieu', 'the', 'huyet', 'starch']",[],"{""injection""}",False,,"['hepatic_toxic', 'renal_adjust']",Suy thận; Bệnh gan nặng; Chảy máu sọ não.,{}
IMMUNOGLOBULIN TĨNH MẠCH (IVIG),"Globulin miễn dịch (Điều trị Suy giảm miễn dịch, Bệnh tự miễn).","['Gammagard', 'IVIG']",['Dung dịch tiêm truyền'],immunoglobulin tinh mach (ivig),j06ba02,"globulin mien dich (dieu tri suy giam mien dich, benh tu mien).",['dung dich tiem truyen'],"['gammagard', 'ivig']","['immunoglobulin', 'dieu', 'globulin', 'suy', 'tu', 'tinh', 'dung', 'truyen', 'dich', 'tiem', 'benh', 'ivig', 'j06ba02', 'giam', 'mien', 'tri', 'mach', 'gammagard']",[],"{""injection""}",False,,[],Thiếu hụt IgA (nguy cơ sốc phản vệ).,"{""infectious""}"
GLOBULIN MIỄN DỊCH KHÁNG RH0(D),Globulin miễn dịch đặc hiệu (Dự phòng Bệnh tan máu ở trẻ sơ sinh).,"['RhoGAM', 'Rho(D) Immune Globulin']",['Thuốc tiêm bắp/tĩnh mạch'],globulin mien dich khang rh0(d),j06bb01,globulin mien dich dac hieu (du phong benh tan mau o tre so sinh).,['thuoc tiem bap/tinh mach'],"['rhogam', 'rho(d) immune globulin']","['globulin', 'bap/tinh', 'mau', 'immune', 'tre', 'rhod', 'tan', 'mien', 'khang', 'hieu', 'dich', 'benh', 'j06bb01', 'tiem', 'so', 'rhogam', 'mach', 'o', 'rh0d', 'sinh', 'du', 'thuoc', 'phong', 'dac']",[],"{""injection""}",False,,[],Bệnh nhân Rh dương; Quá mẫn với protein người.,"{""infectious""}"
GLOBULIN MIỄN DỊCH KHÁNG TETANUS,Globulin miễn dịch đặc hiệu (Điều trị Uốn ván).,"['TIG', 'Tetanus Immune Globulin']",['Thuốc tiêm bắp'],globulin mien dich khang tetanus,j06bb02,globulin mien dich dac hieu (dieu tri uon van).,['thuoc tiem bap'],"['tig', 'tetanus immune globulin']","['dieu', 'van', 'globulin', 'j06bb02', 'hieu', 'dich', 'thuoc', 'bap', 'tig', 'tetanus', 'immune', 'tiem', 'mien', 'tri', 'dac', 'khang', 'uon']",[],"{""injection""}",False,,[],Tương tự Rh0(D) Immune Globulin.,"{""infectious""}"
GLOBULIN MIỄN DỊCH KHÁNG VIÊM GAN B,Globulin miễn dịch đặc hiệu (Điều trị Viêm gan B cấp).,"['HBIG', 'Hepatitis B Immune Globulin']",['Thuốc tiêm bắp'],globulin mien dich khang viem gan b,j06bb04,globulin mien dich dac hieu (dieu tri viem gan b cap).,['thuoc tiem bap'],"['hbig', 'hepatitis b immune globulin']","['globulin', 'cap', 'immune', 'b', 'mien', 'tri', 'hepatitis', 'khang', 'viem', 'hieu', 'dich', 'gan', 'tiem', 'bap', 'j06bb04', 'dieu', 'thuoc', 'hbig', 'dac']",[],"{""injection""}",False,,[],Tương tự Rh0(D) Immune Globulin.,"{""infectious""}"
GLOBULIN MIỄN DỊCH KHÁNG DẠI,Globulin miễn dịch đặc hiệu (Điều trị Phơi nhiễm Dại).,"['RIG', 'Rabies Immune Globulin']",['Thuốc tiêm'],globulin mien dich khang dai,j06bb05,globulin mien dich dac hieu (dieu tri phoi nhiem dai).,['thuoc tiem'],"['rig', 'rabies immune globulin']","['dieu', 'rig', 'nhiem', 'globulin', 'dai', 'hieu', 'dich', 'thuoc', 'immune', 'tiem', 'mien', 'rabies', 'j06bb05', 'phoi', 'dac', 'khang', 'tri']",[],"{""injection""}",False,,[],Tương tự Rh0(D) Immune Globulin.,"{""infectious""}"
ADENOSINE (IV),Thuốc chống loạn nhịp (Lô 28).,['Tương tự Adenosine (Lô 28)'],['Tương tự Adenosine (Lô 28)'],adenosine (iv),c01eb10,thuoc chong loan nhip (lo 28).,['tuong tu adenosine (lo 28)'],['tuong tu adenosine (lo 28)'],"['nhip', 'loan', 'c01eb10', 'tu', 'iv', 'thuoc', 'chong', 'tuong', 'adenosine', '28', 'lo']",[],"{""oral""}",False,,[],Tương tự Adenosine (Lô 28).,"{""cardiology""}"
PROCAINAMIDE (IV),Thuốc chống loạn nhịp (Lô 28).,['Tương tự Procainamide (Lô 28)'],['Tương tự Procainamide (Lô 28)'],procainamide (iv),c01ba02,thuoc chong loan nhip (lo 28).,['tuong tu procainamide (lo 28)'],['tuong tu procainamide (lo 28)'],"['nhip', 'procainamide', 'loan', 'tu', 'iv', 'thuoc', 'c01ba02', 'chong', 'tuong', '28', 'lo']",[],"{""oral""}",False,,[],Tương tự Procainamide (Lô 28).,"{""cardiology""}"
LIDOCAINE (IV - Loạn nhịp),Thuốc chống loạn nhịp (Lô 28).,['Tương tự Lidocaine (Lô 28)'],['Tương tự Lidocaine (Lô 28)'],lidocaine (iv - loan nhip),c01bb01,thuoc chong loan nhip (lo 28).,['tuong tu lidocaine (lo 28)'],['tuong tu lidocaine (lo 28)'],"['nhip', 'loan', 'tu', 'iv', 'c01bb01', 'thuoc', 'lidocaine', 'chong', 'tuong', '28', 'lo']",[],"{""oral""}",False,,[],Tương tự Lidocaine (Lô 28).,"{""cardiology""}"
AMIODARONE (IV),Thuốc chống loạn nhịp (Lô 28).,['Tương tự Amiodarone (Lô 28)'],['Tương tự Amiodarone (Lô 28)'],amiodarone (iv),c01bd01,thuoc chong loan nhip (lo 28).,['tuong tu amiodarone (lo 28)'],['tuong tu amiodarone (lo 28)'],"['nhip', 'c01bd01', 'loan', 'tu', 'iv', 'thuoc', 'chong', 'tuong', '28', 'lo', 'amiodarone']",[],"{""oral""}",False,,[],Tương tự Amiodarone (Lô 28).,"{""cardiology""}"
DOFETILIDE,"Thuốc chống loạn nhịp (Điều trị Rung nhĩ, Cuồng nhĩ).","['Tikosyn', 'Dofetilide']","['Viên nang 125 mcg', 'Viên nang 250 mcg', 'Viên nang 500 mcg']",dofetilide,c01bd04,"thuoc chong loan nhip (dieu tri rung nhi, cuong nhi).","['vien nang 125 mcg', 'vien nang 250 mcg', 'vien nang 500 mcg']","['tikosyn', 'dofetilide']","['nhip', 'vien', 'dieu', '125', 'loan', 'nang', '500', 'rung', 'thuoc', 'mcg', 'tikosyn', 'chong', 'c01bd04', 'dofetilide', 'cuong', 'tri', '250', 'nhi']",[],"{""oral""}",False,,[],"Kéo dài QT; Dùng đồng thời với Verapamil, Hydrochlorothiazide, Ketoconazole.","{""cardiology""}"
IBUTILIDE,"Thuốc chống loạn nhịp (Chuyển nhịp Rung nhĩ, Cuồng nhĩ cấp).","['Corvert', 'Ibutilide']",['Thuốc tiêm tĩnh mạch'],ibutilide,c01bd06,"thuoc chong loan nhip (chuyen nhip rung nhi, cuong nhi cap).",['thuoc tiem tinh mach'],"['corvert', 'ibutilide']","['nhip', 'c01bd06', 'loan', 'ibutilide', 'rung', 'thuoc', 'tinh', 'corvert', 'tiem', 'chong', 'chuyen', 'cuong', 'cap', 'mach', 'nhi']",[],"{""injection""}",False,,[],Kéo dài QT bẩm sinh; Tương tự Dofetilide.,"{""cardiology""}"
DRONEDARONE,Thuốc chống loạn nhịp (Điều trị Rung nhĩ).,"['Multaq', 'Dronedarone']",['Viên nén 400 mg'],dronedarone,c01bd07,thuoc chong loan nhip (dieu tri rung nhi).,['vien nen 400mg'],"['multaq', 'dronedarone']","['nhip', 'multaq', 'vien', 'dieu', 'loan', 'dronedarone', 'c01bd07', 'rung', 'thuoc', 'chong', '400mg', 'tri', 'nen', 'nhi']",[],"{""oral""}",False,,[],Suy tim sung huyết; Rung nhĩ mạn tính; Dùng đồng thời với thuốc ức chế CYP3A4 mạnh.,"{""cardiology""}"
CETUXIMAB,"Kháng thể đơn dòng (Ức chế EGFR - UT đại trực tràng, đầu cổ).","['Erbitux', 'MabThera']",['Thuốc tiêm truyền'],cetuximab,l01xc06,"khang the don dong (uc che egfr - ut dai truc trang, dau co).",['thuoc tiem truyen'],"['erbitux', 'mabthera']","['cetuximab', 'truc', 'truyen', 'uc', 'don', 'mabthera', 'dau', 'erbitux', 'dai', 'l01xc06', 'dong', 'khang', 'che', 'co', 'tiem', 'trang', 'thuoc', 'the', 'egfr', 'ut']",[],"{""injection""}",False,,[],Quá mẫn với protein chuột; Thiếu hụt men G6PD.,"{""oncology""}"
PANITUMUMAB,Kháng thể đơn dòng (Ức chế EGFR - UT đại trực tràng).,"['Vectibix', 'Panitumumab']",['Thuốc tiêm truyền'],panitumumab,l01xc08,khang the don dong (uc che egfr - ut dai truc trang).,['thuoc tiem truyen'],"['vectibix', 'panitumumab']","['che', 'truc', 'vectibix', 'truyen', 'trang', 'dai', 'thuoc', 'l01xc08', 'the', 'ut', 'egfr', 'dong', 'tiem', 'panitumumab', 'uc', 'don', 'khang']",[],"{""injection""}",False,,[],Tương tự Cetuximab.,"{""oncology""}"
RAMUCIRUMAB,"Kháng thể đơn dòng (Ức chế VEGF-R2 - UT dạ dày, phổi).","['Cyramza', 'Ramucirumab']",['Thuốc tiêm truyền'],ramucirumab,l01xc18,"khang the don dong (uc che vegf-r2 - ut da day, phoi).",['thuoc tiem truyen'],"['cyramza', 'ramucirumab']","['che', 'ramucirumab', 'cyramza', 'l01xc18', 'vegfr2', 'truyen', 'thuoc', 'the', 'ut', 'da', 'dong', 'tiem', 'uc', 'phoi', 'don', 'khang', 'day']",[],"{""injection""}",False,,[],Tiền sử chảy máu nghiêm trọng; Tăng huyết áp không kiểm soát.,"{""oncology""}"
